,Model Name,Fold,Features,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
71,SVM,5,emb,0.21843257712526642,0.2319444444444444,0.7279661016949153,0.6696629213483146,0.6313559322033898,0.6499454743729552,0.43103448275862066,0.16666666666666666,0.14285714285714285,0.15384615384615383
72,Logistic Regression,5,raw seq,0.38011857770411955,0.6652777777777777,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0
73,Logistic Regression,5,emb,0.33501000716759877,0.5444444444444444,0.7779661016949152,0.7820224719101123,0.6783625730994152,0.7265135699373694,0.4827586206896552,0.2222222222222222,0.2,0.2105263157894737
74,Decision Tree,5,raw seq,0.29808429118773944,0.4555555555555556,1.0,1.0,1.0,1.0,0.5862068965517241,0.1111111111111111,0.2,0.14285714285714285
75,Decision Tree,5,emb,0.3128318881494925,0.46180555555555564,0.8084745762711865,0.8157303370786517,0.7159763313609467,0.7626050420168067,0.5,0.2777777777777778,0.23809523809523808,0.25641025641025644
76,Random Forest,5,raw seq,0.37864174875044443,0.5555555555555556,0.997457627118644,1.0,0.9933035714285714,0.9966405375139977,0.5,0.0,0.0,0.0
77,Random Forest,5,emb,0.33165526080382357,0.44166666666666665,0.788135593220339,0.6898876404494382,0.7326968973747017,0.710648148148148,0.5689655172413793,0.16666666666666666,0.23076923076923078,0.1935483870967742
78,Baseline,5,raw seq,0.3103448275862069,0.5,0.3771186440677966,1.0,0.3771186440677966,0.5476923076923076,0.3103448275862069,1.0,0.3103448275862069,0.4736842105263158
79,Baseline,5,emb,0.3103448275862069,0.5,0.3771186440677966,1.0,0.3771186440677966,0.5476923076923076,0.3103448275862069,1.0,0.3103448275862069,0.4736842105263158
80,LSTM,5,raw seq,0.2679538493914961,0.4208333333333333,0.9898305084745763,0.9910112359550561,0.9821826280623608,0.9865771812080536,0.5344827586206896,0.1111111111111111,0.15384615384615385,0.12903225806451615
81,LSTM,5,emb,0.5680042379401757,0.4888888888888889,0.6228813559322034,0.0,0.0,0.0,0.6896551724137931,0.0,0.0,0.0
82,CNN,5,raw seq,0.28674813035783475,0.45972222222222225,0.9652542372881356,0.9550561797752809,0.952914798206278,0.9539842873176206,0.43103448275862066,0.1111111111111111,0.10526315789473684,0.10810810810810811
83,CNN,5,emb,0.4400036809922503,0.46388888888888885,0.6228813559322034,0.0,0.0,0.0,0.6896551724137931,0.0,0.0,0.0
84,SVM,6,raw seq,0.8737541921705718,0.9465811965811967,0.9956559513466551,0.9975903614457832,0.9904306220095693,0.9939975990396158,0.8850574712643678,1.0,0.8275862068965517,0.9056603773584906
85,SVM,6,emb,0.5725928165134876,0.5673076923076923,0.733275412684622,0.6168674698795181,0.6336633663366337,0.6251526251526252,0.40229885057471265,0.20833333333333334,0.4166666666666667,0.2777777777777778
86,Logistic Regression,6,raw seq,0.8742708999427483,0.9471153846153847,1.0,1.0,1.0,1.0,0.8735632183908046,1.0,0.8135593220338984,0.897196261682243
87,Logistic Regression,6,emb,0.5427490673872628,0.4839743589743589,0.7836663770634231,0.8048192771084337,0.6653386454183267,0.7284623773173391,0.4482758620689655,0.3541666666666667,0.5,0.4146341463414634
88,Decision Tree,6,raw seq,0.5517241379310345,0.46153846153846156,1.0,1.0,1.0,1.0,0.41379310344827586,0.0,0.0,0.0
89,Decision Tree,6,emb,0.5376734848400438,0.48210470085470086,0.8175499565595135,0.8048192771084337,0.7213822894168467,0.7608200455580865,0.4482758620689655,0.2916666666666667,0.5,0.3684210526315789
90,Random Forest,6,raw seq,0.9063620313026124,0.9471153846153847,0.996524761077324,1.0,0.9904534606205251,0.9952038369304557,0.8735632183908046,1.0,0.8135593220338984,0.897196261682243
91,Random Forest,6,emb,0.608154039196419,0.5010683760683761,0.7932232841007819,0.6987951807228916,0.7196029776674938,0.7090464547677262,0.4942528735632184,0.2916666666666667,0.5833333333333334,0.38888888888888895
92,Baseline,6,raw seq,0.5517241379310345,0.5,0.36055603822762816,1.0,0.36055603822762816,0.5300127713920818,0.5517241379310345,1.0,0.5517241379310345,0.7111111111111111
93,Baseline,6,emb,0.5517241379310345,0.5,0.36055603822762816,1.0,0.36055603822762816,0.5300127713920818,0.5517241379310345,1.0,0.5517241379310345,0.7111111111111111
94,LSTM,6,raw seq,0.7171065538267339,0.798076923076923,0.9756733275412685,0.980722891566265,0.9531615925058547,0.9667458432304038,0.3793103448275862,0.041666666666666664,0.2,0.06896551724137931
95,LSTM,6,emb,0.47833954139442775,0.4305555555555555,0.6394439617723718,0.0,0.0,0.0,0.4482758620689655,0.0,0.0,0.0
96,CNN,6,raw seq,0.6376156924784702,0.6709401709401709,0.9287576020851434,0.9036144578313253,0.8992805755395683,0.9014423076923078,0.3448275862068966,0.0,0.0,0.0
97,CNN,6,emb,0.48070051364157385,0.43696581196581197,0.6394439617723718,0.0,0.0,0.0,0.4482758620689655,0.0,0.0,0.0
